food_code,conv_method,conv_option,conv_factor,energy_kcal
187,10,,0.76,239
187,40,1,59.3,239
187,40,2,82.8,239
187,40,3,133.8,239
429,10,,1,190
429,70,2,12,190
431,10,,1,190
431,70,2,12,190
863,40,1,64,37
863,40,2,86,37
863,40,3,107,37
863,53,,,37
866,10,,1,46
866,52,,0.29,46
1107,10,,1,367
1107,10,,1,367
1107,52,,0.49,367
1134,40,1,118,79
1134,40,2,156,79
1134,40,4,236,79
1134,53,,,79
1137,40,1,118,79
1137,40,2,153,79
1137,40,4,280,79
1137,53,,,79
1246,10,,1,305
1246,53,,,305
10009,40,1,203,159.14
10009,40,2,344,159.14
10009,40,3,497,159.14
10009,40,4,629,159.14
10009,52,,1,159.14
10089,40,1,60,167.5405
10089,40,2,150,167.5405
10089,40,3,240,167.5405
10089,40,4,330,167.5405
10089,52,,1.5,167.5405
