recipe_code,recipe_descr,recipe_type,recipe_type_descr,ingr_code,ingr_descr,ingr_fraction,ingr_fraction_type,iso_code
10009,Jollof rice,1,Standard (1),69,"Salt,unspecified,raw",0.01,2,en
10009,Riz gras,1,Standard (1),63,"Riz,blanc,grain entier,poli,cru",0.71,2,fra
10009,Riz gras,1,Standard (1),66,"Tomate,mure,entiere,fraiche,crue",0.06,2,fra
10009,Riz gras,1,Standard (1),69,"Sel,non specifie,cru",0.01,2,fra
10009,Jollof rice,1,Standard (1),431,"Bouillon cube,Maggi,raw",0.02,2,en
10009,Jollof rice,1,Standard (1),63,"Rice,white,whole grain,refined,raw",0.71,2,en
10009,Jollof rice,1,Standard (1),66,"Tomato,ripe,whole,fresh,raw",0.06,2,en
10009,Riz gras,1,Standard (1),67,"Huile vegetale,non specifiee,crue",0.07,2,fra
10009,Riz gras,1,Standard (1),431,"Cube de bouillon,Maggi,cru",0.02,2,fra
10009,Jollof rice,1,Standard (1),65,"Tomato,concentrated (paste),raw",0.04,2,en
10009,Riz gras,1,Standard (1),65,"Tomate,concentree (pate),crue",0.04,2,fra
10009,Jollof rice,1,Standard (1),67,"Vegetable oil,unspecified,raw",0.07,2,en
10009,Jollof rice,1,Standard (1),64,"Onion,fresh,raw",0.08,2,en
10009,Riz gras,1,Standard (1),64,"Oignon,frais,cru",0.08,2,fra
10089,Sauce Gombo,1,Standard (1),1107,"Poudre de poisson,crue",0.12,2,fra
10089,Okra sauce,1,Standard (1),431,"Bouillon cube,Maggi,raw",0.0073,2,en
10089,Sauce Gombo,1,Standard (1),467,"Soumbala,a base de nere,grain,sec,cru",0.0765,2,fra
10089,Sauce Gombo,1,Standard (1),416,"Piment,entier,rouge,sec,cru",0.008,2,fra
10089,Okra sauce,1,Standard (1),1107,"Fish powder,raw",0.12,2,en
10089,Okra sauce,1,Standard (1),450,"Potash,solid",0.01,2,en
10089,Sauce Gombo,1,Standard (1),431,"Cube de bouillon,Maggi,cru",0.0073,2,fra
10089,Okra sauce,1,Standard (1),885,"Okra,dried,cut in pieces,non crushed,raw",0.37,2,en
10089,Sauce Gombo,1,Standard (1),69,"Sel,non specifie,cru",0.0152,2,fra
10089,Okra sauce,1,Standard (1),416,"Chilli pepper,whole,red,dried,raw",0.008,2,en
10089,Okra sauce,1,Standard (1),69,"Salt,unspecified,raw",0.0152,2,en
10089,Sauce Gombo,1,Standard (1),885,"Gombo,seche,coupe en morceaux,non pile,cru",0.37,2,fra
10089,Sauce Gombo,1,Standard (1),450,"Potasse,solide",0.01,2,fra
10089,Okra sauce,1,Standard (1),467,"Soumbala,nere,grain,dried,raw",0.0765,2,en
