Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
india,downstream-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,jennytraining,PRODUCT,Dimagi Only CommCare Enterprise Edition,,
india,np-testing-migration-03-10,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,myfirsttestproject,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
india,final-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,kriti-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
india,ansh-ccc,IMPLEMENTATION,Enterprise Plan for CommCare Connect,,
india,sewa-covid19,PRODUCT,CommCare Paused Edition,True,
india,vitaminangels,PRODUCT,CommCare Paused Edition,True,
india,np-migration-3-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,backup-sewa-covid-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
india,qa-automation,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,enikshay-uatbc-migration-test-2,,,,
india,shubhamgoyaltest,PRODUCT,CommCare Free Edition,,
india,enikshay-test,,,,
india,np-migration-3,,,,
india,enikshay-test-test,,,,
india,jemord-enikshay-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,enikshay-test-migration-test,,,,
india,enikshay-uatbc-migration-test-3,,,,
india,enikshay-uatbc-migration-test-1,,,,
india,test-charles,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,enikshay-uatbc-migration-test-4,,,,
india,dimagi-funapps,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,enikshay-reports-qa,,,,
india,migration-12-23,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,enikshay-nikshay-migration-test,,,,
india,enikshay-drtb-migration,,,,
india,kriti-case-claim-test,PRODUCT,CommCare Free Edition,False,
india,shahid-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,np-clone-domain-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,jd-enikshay-test,,,,
india,acoffeemachineinanoffice,PRODUCT,CommCare Community Edition (With ERM),,
india,test-samveg-quick,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,sewa-covid-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
india,aliza-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,test1rr,NOT_SET,Dimagi Only CommCare Enterprise Edition,,
india,ccc-chc,PRODUCT,CommCare Paused Edition,,
india,jensen-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,samveg-quick,PRODUCT,CommCare Paused Edition,True,
india,np-migration-12_24,,,,
india,np-clone-domain-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,enikshay-test-2,,,,
india,sms-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,surabhi-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,np-clone-domain-3,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,enikshay-domain-copy-test,,,,
india,enikshay-test-dec-15-copy,,,,
india,zohaib-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,bosco,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,acoffeemachineinanoffice
india,grogu-india,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
india,sheel-enikshay,,,,
india,migration-3-10,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,derek-enikshay,,,,
india,community-empowerment,PRODUCT,CommCare Paused Edition,,
india,enikshay-jd-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,enikshay,,,,"enikshay-temp,enikshay-test"
india,jd,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,aashima,,,,
india,ahtohallan,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
india,enikshay-temp,,,,
india,talbot-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,downstream-test
india,np-clone-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
india,enikshay-aks-audit,,,,
india,nihr-namaste,IMPLEMENTATION,Discounted Advanced Plan for The University of Manchester - UoM ASD Namaste,,
